"","taxa","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"59","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__",NA,NA,NA,NA,NA,NA,3.76965744999337,NA,NA,3.02009981803314,NA,NA,NA,NA,NA,-2.53951604195632,NA,NA,NA
"60","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__",NA,NA,NA,NA,NA,NA,NA,NA,-0.479493377253081,NA,NA,NA,NA,NA,NA,NA,NA,-0.275457273123812,NA
"61","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__",NA,NA,NA,NA,NA,0.357874739150639,NA,NA,-0.388708643421804,NA,NA,NA,NA,NA,NA,-0.192230421809663,NA,NA,NA
"62","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0872569902788334,NA,0.666100845664551,0.525413208889483,NA,NA,NA,NA,0.433446549052116,NA
"63","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22820077885166,NA,NA,NA,NA,NA,NA,NA
"64","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis",NA,NA,NA,NA,NA,NA,NA,NA,-3.07853161052443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5357596258123,NA,NA,NA,NA,NA,NA,NA,NA
"66","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222231154188812,NA,-0.44103857289515,NA,NA,NA,NA,1.73189757190371,NA,NA
"67","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Clostridium.s__bartlettii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.93106248497915,NA,NA,NA,NA,NA,NA,NA
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__",NA,4.34198511453476,NA,11.0783321835118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696255616191945,0.513930437286239,NA,NA,-0.907939187060033,NA,NA,NA
"70","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__",NA,0.0540084775074487,NA,0.154426716379415,NA,NA,-0.0366266780915846,NA,NA,NA,NA,0.035445264069884,0.0198806136102472,NA,0.0406469256810887,NA,NA,NA,NA
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum",NA,NA,NA,NA,NA,NA,NA,2.45333457695585,NA,NA,NA,NA,0.597039647598283,NA,0.892565875989839,NA,NA,0.399250743901165,NA
"72","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10792250165652,0.0373982934800863,NA,NA,NA,NA,NA,NA
"73","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253110257726948,NA,NA,NA,NA,NA,NA
"74","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,-1.54638975556865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,NA,NA,NA,NA,NA,-0.821649569656452,0.872426809510485,NA,NA,NA,NA,NA,-0.971924333177455,NA,-0.730007236781601,NA
"76","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,-1.14227913356637,NA,NA,0.856581961998746,NA,NA,NA,-1.28165139583111,NA,-0.603118909695563,NA
"77","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811433137894841,NA,-1.38513909631073,NA,NA,NA,NA,NA,NA,NA
"78","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__variabile",NA,NA,5.2472443514019,NA,NA,-8.45566540287486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,0.914913907335688,NA,NA,-0.260559975165365,NA,NA,NA,NA,NA,NA,NA,0.245880801798029,-0.185898010957126,NA,-0.0904221284970263,NA
"80","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.552379128829595,NA,NA,NA,NA,NA,NA,NA
"81","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",2.40054317892682,NA,NA,NA,-4.01047438723828,-1.71961500431953,0.967748098060945,NA,NA,NA,NA,NA,NA,NA,NA,-0.65275146248064,NA,NA,NA
"82","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum",NA,NA,NA,NA,NA,NA,NA,NA,4.74632308753706,NA,NA,NA,NA,34.7086940495588,NA,NA,NA,NA,NA
"83","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,-0.647075066643775,NA,NA,NA,-0.292153411841313,NA,NA,-0.320078069440196,NA,NA,NA
"84","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme",NA,NA,1.10570160338964,NA,NA,-1.53063950221099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__",NA,-19.8812368546945,6.00911601878919,-26.9817341521914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania.s__",NA,NA,NA,NA,NA,0.0316310097302774,NA,NA,NA,NA,NA,NA,NA,NA,0.0639848369837666,NA,NA,NA,NA
"87","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,-0.470679651769104,NA,NA,-0.217993822475373,-0.253498273053648,NA,NA,NA,NA,NA,NA
"88","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__",NA,2.4922268181424,-2.00731569095835,4.25621475132191,NA,2.8985971636241,-1.92001189493711,NA,NA,0.581135940081056,-1.49739312711422,NA,NA,NA,NA,NA,NA,NA,NA
"89","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__",NA,NA,NA,NA,NA,NA,NA,-2.29209275618659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",NA,NA,NA,NA,-15.3497430531497,NA,6.56145968973941,NA,NA,NA,NA,NA,4.88706919901692,NA,12.4900950372505,NA,NA,NA,NA
"91","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Shigella.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07614755714338,NA,NA,NA,NA
"92","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93300667141262,NA,NA,NA,NA,NA,NA,NA
