"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"75","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721489568985887,NA,NA,NA,NA,NA,NA,NA
"76","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.157452443138693,NA
"77","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera.s__",NA,NA,NA,NA,NA,NA,NA,-0.0120914194365984,NA,NA,NA,NA,NA,NA,NA,NA,-0.00444153820522122,NA,NA
"78","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138769052112834,NA
"79","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__dispar",-7.15505785882284,NA,NA,NA,NA,NA,NA,-7.292785481623,NA,NA,-3.27984504007739,NA,-5.11186592565266,NA,NA,NA,NA,NA,NA
"80","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",NA,NA,NA,0.93951103417301,NA,NA,NA,NA,-1.63777797954618,NA,NA,NA,NA,NA,-0.420146492645522,NA,NA,NA,NA
"81","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum",NA,-15.8110411162641,-9.14829614393233,NA,-15.811041116264,15.811041116264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,0.477434487571411,NA,NA,NA,-0.309498922577378,-0.390731612845982,0.580881471272277,NA,NA,NA,NA,NA
"83","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme",NA,-3.66388858607326,NA,NA,-3.66388858607327,3.66388858607326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881231515089572,NA,NA,NA,NA,NA,NA,NA
"85","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228827830506017,NA,0.296017282013264,NA,NA,NA,NA,NA,NA
"86","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__",NA,NA,NA,-0.879811501895145,NA,NA,NA,NA,1.60219298922455,NA,1.41187816399046,-0.79801420672016,NA,NA,NA,NA,NA,NA,NA
"87","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,-8.50237498297456,NA,NA,NA,NA,NA,-3.06874672848977,NA,NA,NA,NA
"88","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57439888176473,NA,NA,NA,NA,NA,NA,NA,NA
"89","Unassigned.__.__.__.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0201160563340526,NA,NA,NA,0.122386999584755
