"","taxa","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"63","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610117689742355,NA,NA,NA,NA,NA,NA,NA
"64","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis",NA,NA,NA,NA,NA,NA,NA,NA,0.641770491109215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53147574665166,NA,NA,NA,NA,NA,NA,NA,NA
"66","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0871517175914008,NA,0.206513836600983,NA,NA,NA,NA,0.383601835605635,NA,NA
"67","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Clostridium.s__bartlettii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590978771401694,NA,NA,NA,NA,NA,NA,NA
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__",NA,1.64008143053638,NA,4.68302962788233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267344799932522,0.236695166069985,NA,NA,0.371868831221847,NA,NA,NA
"70","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__",NA,0.0203046620878139,NA,0.0577186615873573,NA,NA,0.0149969125613853,NA,NA,NA,NA,0.0108906586923259,0.00971844322410037,NA,0.014448156392681,NA,NA,NA,NA
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum",NA,NA,NA,NA,NA,NA,NA,1.22457035110269,NA,NA,NA,NA,0.199979774365208,NA,0.446817902691892,NA,NA,0.18590416891718,NA
"72","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0155049350379341,0.014687228465074,NA,NA,NA,NA,NA,NA
