"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"56","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae",NA,NA,NA,NA,NA,NA,NA,-0.00496228450854477,NA,NA,NA,-0.00545426267285253,NA,-0.00751580309141398,NA,NA,NA,NA,NA,NA
"57","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi",NA,NA,NA,-1.27803759330352,NA,-2.11788898419747,NA,NA,NA,-0.750038654824155,-1.1318948722266,NA,-2.56920853817417,NA,3.33737048431079,NA,NA,NA,NA,NA
"58","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense",NA,NA,NA,NA,NA,NA,NA,-0.0148894123665045,NA,NA,NA,NA,NA,0.0266361101843867,0.0226850446416916,NA,NA,NA,NA,-0.0203141459300558
"59","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__symbiosum",NA,-0.226370531458981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.118206642520399,NA,NA,NA,-0.333436027542662
"60","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__",NA,NA,NA,NA,-1.72050788978233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48425589245907,-1.04810270164055,3.86899944249623
"61","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.305392334546322,NA,NA,NA,NA,NA,-0.265368935859922,NA,NA,-0.343873410430071,NA
"62","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__longicatena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177671460611174,NA,NA,NA,NA,-0.046751371041145,-0.0548151410904762,NA
"63","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263642853459461,NA,NA,-0.179263717035977,-0.602711018962538
"64","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381474538839093,NA,NA,NA,NA,NA,NA,NA
"65","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.280218781984711,NA,NA,NA,NA,NA,NA,NA,NA,-0.219299091871026,NA
"66","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03698508322905,NA,NA,NA,-1.10418651137742,NA,NA,-0.956253161993837,NA
"67","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35908562237785,NA,-2.2235612058648,NA,6.59425963497126,NA,NA,NA,0.707003183262933,NA
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.261283025169812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__",NA,NA,NA,6.03314570306587,NA,-10.7200509049753,-5.84378447947538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66162530789519,NA,NA,NA,NA,NA,NA,NA,NA,4.50486750845664
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__",NA,NA,NA,NA,NA,NA,NA,-0.158204299238619,NA,NA,NA,NA,-0.224431506207378,-0.199234498564499,NA,NA,NA,-0.0634264741316791,NA,NA
"72","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0671200479559916,NA,NA,NA,NA,NA,NA,NA,NA,NA
